Name	Intensity 01_IKA_0h_batch5	Intensity 02_IKA_0h_batch6	Intensity 03_IKA_0h_batch7	Intensity 04_IKA_2h_batch1	Intensity 05_IKA_2h_batch3	Intensity 06_IKA_2h_batch4	Intensity 07_IKA_6h_batch1	Intensity 08_IKA_6h_batch3	Intensity 09_IKA_6h_batch4	Intensity 10_IKA_12h_batch1	Intensity 11_IKA_12h_batch3	Intensity 12_IKA_12h_batch4	Intensity 13_IKA_18h_batch1	Intensity 14_IKA_18h_batch3	Intensity 15_IKA_18h_batch4	Intensity 16_IKA_24h_batch1	Intensity 17_IKA_24h_batch3	Intensity 18_IKA_24h_batch4
Puf60	25.67659072	25.39734718	22.54179616	22.64873499	26.36372626	26.04310073	26.01344076	26.00829867	24.36038095	23.8499548	23.42278033	23.66513984	21.82318218	21.82318218	23.10397608	23.84412263	24.09111703	21.82318218
Purb	22.22655684	21.81440723	22.29796073	22.29706515	23.87755076	23.53575853	24.1668361	24.38350497	21.16023336	22.42044344	20.83915149	22.37042029	24.54810271	25.55109896	24.72619238	22.31826917	22.35968415	20.30429784
Pycr2	25.41322272	23.46948582	21.70956682	22.81321361	23.80183464	21.80388516	22.63438123	22.07152914	21.76704805	21.26802336	21.19988318	20.08563324	25.04468561	24.63975581	24.38218599	19.78556422	21.27110506	16.55140787
Rab10	25.24604759	24.94503083	20.65839979	23.76617867	25.56229437	26.32872121	25.68645607	26.43899853	24.03934012	23.05034357	24.05258397	23.67755879	24.31271348	25.88846159	25.62742323	24.21511999	24.21497183	21.62234322
Rab11b;Rab11a	26.34316429	26.14411845	21.20883923	21.68542979	27.41312585	27.51998339	27.22084975	27.42958003	25.40548533	25.82340087	25.41005508	24.91834355	21.20883923	22.09902284	21.20883923	25.53273022	25.61577016	23.33565422
Rab14	26.05490368	24.2250862	23.60070875	22.99123534	25.95362561	26.15499112	26.69019155	27.02896868	24.97701154	24.38515199	24.30959459	24.25465036	23.40846865	24.05192051	23.64581409	24.27319858	24.46182663	21.69875722
Rab18	24.98676422	24.46007738	16.283631	16.283631	25.3399068	25.33422254	24.59149313	25.35558365	23.87586482	23.33960104	23.57242083	21.93045005	16.283631	21.41802553	20.20120022	23.09153676	22.79946503	20.85513614
Rab1A	23.66741564	20.28692319	21.59272528	24.01971017	25.7321579	25.74583699	26.19108588	25.71960168	24.62198566	23.44088437	23.63953502	23.31409749	24.43001093	23.20471143	23.20787167	24.22486547	23.99972343	20.87147213
Rab1b	25.4853284	25.93445108	22.39626297	24.65419853	26.54626369	26.64787361	26.96982914	26.95182629	25.13182965	23.66155631	25.1871826	24.93346087	22.39626297	22.39626297	23.04583564	24.86372425	25.13715658	22.39626297
Rab2a	23.53290853	23.87492733	24.84018936	21.04513573	24.07161097	24.27668103	24.41138116	24.5341561	18.59688857	21.25164883	18.59688857	18.59688857	23.06715269	18.59688857	23.27483425	19.67471296	20.74722597	18.59688857
Rab3gap2	23.14222238	21.18531585	15.56905455	20.57209695	15.20177934	15.20177934	20.00579996	18.45679556	18.62813222	18.45787781	16.51997404	20.36506221	15.20177934	15.20177934	21.47926516	17.87801498	18.02236781	15.20177934
Rab5c	24.3109816	24.37099224	21.43827206	23.59946069	24.33769703	24.57519391	24.16606989	24.52850371	23.73696422	22.26567914	22.00020499	21.22039958	23.37517522	25.67082263	23.96587234	22.39084279	22.35850419	19.53810555
Rab7a	27.11684047	27.21252488	23.78456616	25.72234061	28.12366408	28.12593146	28.44951348	28.77715271	26.07765351	26.62477672	26.36347563	26.28508595	23.51508765	24.07046493	23.51508765	26.16852033	26.61582627	24.13422137
Rab8a	24.59097942	25.04184828	18.80344375	23.19872979	25.25943554	25.5693237	24.76971357	25.47435283	23.95854564	23.2649923	23.36719716	23.10304764	22.45271984	22.24924889	21.94966858	22.97500057	22.00802505	19.8522125
Rab8b	21.07437408	22.78925104	15.63200118	15.63200118	21.83661133	23.72004548	22.79127976	23.01655124	22.16652966	19.54223084	19.77903639	21.08043761	15.63200118	15.63200118	21.77281714	20.79986024	20.76393203	17.73496095
Rac1;Rac3	25.58577495	25.50527634	20.30195607	22.04296719	24.05829369	25.46771474	24.91811603	24.94073656	24.79748738	21.29114596	23.61930116	22.48998316	23.24166143	20.09931185	23.25174995	23.10733267	23.09479355	20.09931185
Rac2	28.49933455	28.68123691	26.72948943	26.07991295	27.47715089	27.76597641	28.07387989	28.21275678	26.67667142	25.83520944	26.51409447	25.98893219	26.917069	27.32457283	27.41328729	25.60509673	25.75651458	23.20706736
Rad21	23.13631967	21.18501332	17.25985358	21.21501628	24.28566805	15.71598879	23.98389751	23.72442392	20.33843173	18.96933031	15.71598879	15.71598879	15.71598879	19.64851558	17.2898748	20.81495478	21.73011684	18.59903384
