miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-miR-450b-3p	1.704562732	1.520660092	1.53178083	2.064442856	2.200229831	1.968857083	0.89607795	1.829335669	2.21956189	2.01471593	2.180508685	1.931024315	2.053599859	2.468888763	1.792966979	2.358764588	2.524761613	2.35478145
mmu-miR-505-5p	2.812192764	3.021346153	2.774918552	2.804316519	3.265491424	2.911139597	2.489284258	3.198202758	3.220976991	2.681807048	3.009919922	2.798284902	3.020934791	2.51377793	3.174030982	2.362196111	2.614714316	2.392732392
mmu-miR-505-3p	1.987873239	1.967338157	2.056271013	1.538012648	1.735744369	2.215232928	2.534939841	1.537268356	2.191589404	1.481485473	1.889002956	3.377790207	1.336221257	2.191500415	2.267957337	2.907798445	2.299870796	1.492332842
mmu-miR-652-5p	3.336569311	3.90168423	2.9666641	2.570399643	3.301267176	3.278792695	3.625789059	3.43505439	3.026423206	2.718738771	2.618617474	4.096632666	3.42506686	3.511060999	3.058855313	3.663536264	2.65192336	3.225764769
mmu-miR-652-3p	6.699331321	7.011182879	6.857266154	6.651209695	6.570192972	5.880517613	5.52555335	6.214392355	6.078245868	6.597917621	6.355968065	5.3214766	6.380167256	6.496073411	5.734758683	5.402752778	5.484302128	6.375388109
mmu-miR-615-3p	2.664549618	2.57465676	3.655714772	4.205675805	3.355387427	2.454487332	2.795580928	3.148442784	3.563821956	3.635320445	3.219924997	2.328445663	2.70092839	2.255293518	2.475292551	2.428472924	2.021512273	2.717185247
mmu-miR-181d-5p	11.71349144	11.7916331	12.09914642	11.74157384	11.94210018	12.23013832	11.86778927	11.80177974	12.08780526	11.97185664	11.9979861	12.07216953	11.80629997	12.17050943	12.24831601	12.00022687	12.0697063	12.03712417
mmu-miR-181d-3p	2.346750638	2.096490335	2.231653496	3.131277923	2.554541127	2.509150886	2.677914681	2.429997228	1.687011751	1.588243155	2.462973087	0.710232454	1.995026035	2.108122513	1.540734034	1.822909703	1.616140872	1.727860643
mmu-miR-871-3p	1.873989811	1.686868948	1.105077548	1.714293117	1.198850238	1.895082906	1.886372872	0.987291726	1.332027557	1.416673162	1.176719386	2.672144681	1.659993778	1.257590842	1.894581441	1.354887653	0.95163488	1.427276461
mmu-miR-879-5p	6.774935147	6.709512809	6.953373072	6.716540045	6.810066676	6.548168636	6.516779414	6.363868056	6.648287528	6.614658908	5.582186164	6.227283072	6.031909167	6.061588231	6.361859323	5.603970824	5.89707082	6.328790813
mmu-miR-879-3p	2.804448663	2.249787562	3.104919678	2.41912595	2.287934517	2.271397924	1.651793987	2.208866046	2.14473103	2.190531137	1.996348131	1.46472375	2.43819445	1.278982761	2.465767436	1.878810238	1.478329186	2.082823921
mmu-miR-190b-5p	1.708106436	2.172455357	1.869603832	2.015599813	1.544685114	1.820941534	1.26359061	1.485786152	1.445493563	2.212348229	1.731455988	1.059585913	1.695850317	2.210698039	1.906965563	0.784759752	1.932996971	1.519057562
mmu-miR-147-3p	3.748328447	3.5392732	3.083403735	3.897985138	3.742394872	3.877718144	3.7378841	3.222918327	3.538042519	3.581415769	3.041863181	3.727958259	3.145586874	2.7569575	2.970848166	2.771415186	3.064558231	2.357265288
mmu-miR-18b-5p	9.573576506	9.92374514	9.256400013	9.481160861	10.00114959	9.423520514	10.44579314	9.779947348	9.797880474	9.07424146	9.054699297	10.076948	9.146065051	9.096552693	9.611717338	9.322729503	9.720810226	8.852673983
mmu-miR-18b-3p	7.496963612	7.594199984	6.896559919	7.645268338	7.938022911	7.937476533	7.911568455	7.68214344	7.854180378	6.885964052	7.612685958	7.19723056	6.854489895	7.00304355	6.978530673	6.721439833	6.851259058	6.910345093
mmu-miR-421-5p	2.924054588	2.34289533	3.174453468	3.709117366	3.024977462	3.070074081	2.807128528	3.509026025	3.41276352	3.390479747	2.933647366	3.294633147	3.129073624	3.763159325	3.50214469	3.051717009	2.973155582	3.42674761
mmu-miR-421-3p	11.32918606	11.2123801	11.13399056	11.22095869	11.41491051	12.17162407	11.9120511	11.34282687	11.71157083	11.32460874	11.75832626	11.64365263	11.40782854	11.71173304	11.85167934	11.61890473	11.86525102	11.85203063
mmu-miR-466c-5p	7.164598225	7.162461527	6.517622563	6.572163114	7.071343581	7.403212643	7.609510617	6.86002458	7.099346052	6.272679323	6.224855919	7.352960326	6.381541187	6.365171734	6.872212213	6.833502723	6.801060729	5.967844069
mmu-miR-466g	2.594006156	3.176938306	3.080432718	3.173596637	3.319273409	3.698111112	2.486318231	3.538177734	3.147686023	3.123907706	2.74785409	1.981620202	2.351824348	2.452976151	3.132394751	2.384312109	2.395862556	3.259866902
mmu-miR-467c-5p	8.996407521	9.073128175	8.902871178	9.153014747	9.06871023	9.035177668	9.017809364	9.043680038	8.984775726	8.948005957	8.94972266	8.673709809	8.614941752	8.289844354	8.577926968	7.773969036	8.079722535	7.820900928
mmu-miR-467c-3p	2.325091804	2.349761483	1.622178813	2.164433438	2.040625486	2.043616396	1.87301935	2.45761799	2.217859503	1.592807266	1.415557053	2.211180765	1.352962593	2.011037418	1.942257873	1.385058384	0.889350626	1.014104263
mmu-miR-467d-5p	7.244181241	6.985740198	7.34422764	7.164716636	7.25179727	7.35376464	7.058752377	7.164755522	7.338989852	7.235533408	7.131562582	6.665128208	6.918350319	6.560686194	7.175625965	6.737569089	6.794842493	6.44064358
mmu-miR-467d-3p	2.808784874	3.099557888	3.760572052	3.549489926	3.271597531	2.999411824	2.844004877	4.170790141	3.260764076	2.580938222	2.886780093	3.572992739	1.968485609	2.847943823	3.409149495	1.808188586	2.132917926	1.748231102
mmu-miR-92b-3p	5.160451507	5.13799858	5.05851665	5.800934009	5.961630448	5.426826985	5.276908482	5.884052975	5.799808037	6.027253997	5.995815764	5.423616664	5.031898682	4.755374207	4.94120769	4.036672461	4.787154926	4.791930374
mmu-miR-466d-5p	4.657556376	4.438249687	4.267341643	4.284723925	4.208099976	4.369740944	3.866305282	3.800051526	4.128454251	3.598760192	3.221946396	3.363332784	2.9156959	2.532121771	3.062295322	2.368619297	2.987011181	2.763411504
mmu-miR-872-5p	10.023134	9.897137078	10.17937873	10.25452685	10.12232422	9.941756541	10.11255998	10.17328843	10.32648159	10.45025725	10.21623874	10.16158796	10.21163855	10.30467688	10.48596629	10.10716799	10.17801978	10.6911288
mmu-miR-872-3p	8.983934115	8.932747436	8.947049722	9.212132819	9.261945434	8.741945822	8.899419445	9.030999602	9.023984737	9.692808422	9.465889328	8.95564041	9.903572119	9.728105849	9.586973528	9.914644602	9.703255892	9.745856065
mmu-miR-208b-3p	3.425692148	2.861708842	2.927498038	3.178397952	3.481330397	2.493572961	3.19113509	3.048687103	3.104787303	2.75614344	2.395763606	2.637982734	2.74901113	2.889972141	3.450665025	3.504345702	2.537900232	3.175451731
mmu-miR-877-3p	2.757278116	3.303413946	2.476871608	3.140844761	3.191679873	2.852648164	1.992303952	3.125146345	2.732296385	2.718764085	2.88159384	1.949167881	3.196703018	3.114827163	2.811357385	2.916741522	3.097961561	2.926796083
mmu-miR-511-3p	5.029794031	4.712102181	5.083395626	5.53725511	5.48923313	4.458026628	4.952611463	4.944150157	4.735253492	5.194779485	4.787358115	4.649741652	4.838866465	4.599372695	4.607272511	4.78575554	4.835844345	4.627978557
mmu-miR-582-5p	9.831519115	10.00866527	10.15753428	10.26468746	10.10443623	8.604621829	9.719417577	10.10357242	9.491145789	9.828969784	9.731959652	9.477591061	9.192030084	8.583095205	9.956338513	8.789612952	9.774163738	9.438694377
mmu-miR-582-3p	8.508203019	8.653497996	8.905481426	8.80767523	8.702861217	7.715068697	7.742115142	8.370600657	8.213092592	8.625832608	8.284500508	7.949306567	8.556186918	8.515283937	8.307287311	7.748920803	8.261856696	8.699819217
mmu-miR-467e-5p	7.068780414	7.235289642	7.100419667	7.212444396	7.327665458	7.514814111	7.166566296	7.294731038	7.222983975	7.161564404	7.142711871	6.961556625	6.956341633	6.561864231	7.188177257	6.884393856	6.652607848	6.624641075
mmu-miR-467e-3p	3.871188017	3.924232422	3.645981794	4.040717738	3.716645597	3.783840324	3.157094523	4.199568228	3.30465102	2.981037576	3.148466471	3.09596049	2.832724829	2.598729433	3.836914349	3.253643662	2.505567145	2.284415201
mmu-miR-466l-3p	2.545722305	2.59035231	1.972618716	2.781466572	2.56000753	2.100140767	3.298820197	2.86748595	2.528647557	2.099235136	1.653613538	2.284604067	1.631984525	1.881071344	2.270572921	2.417432481	1.688135955	1.564996305
mmu-miR-669k-5p	4.001442959	4.073433026	3.699704896	3.503040733	4.147343529	4.584495421	4.895829263	3.553757247	4.193831884	3.273693414	4.337046105	4.601317326	3.770674896	3.906366988	3.95978106	4.228862755	3.951111744	3.730304732
mmu-miR-669g	3.107992942	3.751608418	2.819068463	3.404371145	3.13021761	3.08845207	4.077084494	3.256057556	3.740432263	2.858180016	3.190170328	3.110196636	3.06987437	3.418635636	3.502338969	3.08246955	3.419005771	3.419881089
mmu-miR-669d-5p	6.931605251	6.990951621	6.764297757	6.912828973	6.994742076	7.255734869	6.978534557	6.745466213	6.796738425	7.096704275	6.586856359	6.813189124	6.756003563	6.286047305	6.65677487	6.338146753	6.225883784	6.31855146
mmu-miR-466i-3p	4.674838591	5.291895743	4.691557531	5.348600292	4.9676384	5.062736893	4.115161555	5.163872289	5.222920146	5.090207005	4.744613633	4.007296588	4.235027603	4.411674386	4.27144256	4.038769216	3.267292907	4.45398323
mmu-miR-1b-3p	2.173638415	3.082031001	2.516287623	2.174740567	2.079856364	2.459318564	2.554768593	2.35196492	2.71680157	2.363583749	1.447400919	2.28477393	2.292195998	2.697549302	2.890623679	1.777722895	2.718155678	2.512263177
mmu-miR-1187	3.385953804	2.7928951	2.55654105	3.24542516	2.877210308	3.269023574	2.658446543	2.740827536	2.90939934	3.085315214	2.478240465	2.979358152	2.421739683	2.208045822	2.23116791	2.555260429	1.581324563	1.669380949
mmu-miR-669f-5p	7.149399141	7.170549942	6.551938093	6.666954424	7.122790601	7.716677037	7.626595437	6.92752685	6.938198881	6.417876158	6.680367297	7.561660183	6.901685869	6.668094768	6.746169104	7.039515548	6.648402824	5.983123429
mmu-miR-669f-3p	5.813182224	5.913245754	5.419253709	5.440429038	5.565917959	6.051563076	5.703598168	5.978427964	5.728283218	5.359779579	5.322761333	5.71391923	4.599520107	4.692682283	5.594665529	4.652258786	4.254068216	4.707996663
mmu-miR-669h-5p	2.942632073	2.695496855	3.076418433	1.958746558	2.698717401	2.880637119	3.473468103	2.471455854	3.07025854	2.253657341	2.945688177	3.969471833	2.301631456	3.629676785	3.210439559	3.421133899	3.558913962	2.672519903
mmu-miR-466f	5.290901371	5.053801372	4.615316668	5.251133236	5.282792579	4.637716328	4.662490907	4.692580241	4.63725884	5.123222841	3.698936157	4.594597347	4.315684282	3.749503083	4.089769837	3.548205983	3.817501923	3.647410032
mmu-miR-466k	5.961865426	5.970490285	5.689303859	5.954637692	6.092211171	5.886501927	6.188128756	5.645391392	5.52435103	5.581149338	4.606546496	5.517395169	5.299144102	5.223654884	5.034548044	4.973033506	4.893645039	4.729584078
mmu-miR-1190	0.935070128	1.70780635	0.695846564	0.90476468	0.86469715	1.136514388	0.906571045	1.32629671	0.987532758	1.492467583	0.696988842	0.472863124	0.510647639	0.474222497	1.597101022	0.467951416	1.281238191	1.453631303
mmu-miR-1191	3.213401421	3.085551656	3.429303757	3.613369133	3.261511115	2.842108381	3.286193977	3.516419248	2.48322566	3.212204209	3.002359646	2.872679364	2.944097146	3.587321301	2.791787063	2.810932801	2.436713252	2.703269989
mmu-miR-669e-5p	3.770744161	3.711418193	4.062349359	3.91107859	4.167643223	3.82517457	3.705180914	3.860239799	3.456380013	3.46901557	3.109232056	3.854015536	3.591593869	3.26177216	3.924842197	3.57186854	3.383495569	3.440924296
mmu-miR-669e-3p	1.986810639	2.256628645	2.272764853	2.159725226	2.104477818	2.759911481	2.311424713	2.123233586	2.021422732	1.746668143	1.594816794	1.950240156	1.592015599	2.179809697	2.279065875	1.982774359	2.120908548	0.939185349
mmu-miR-1198-5p	7.372500167	7.471850119	7.224840343	7.251442737	7.398887495	7.28532481	7.238944193	7.18714661	7.209752239	7.563328767	7.618116448	7.246763573	8.214816451	8.184534781	8.083935522	8.546863812	8.351258946	8.613354659
mmu-miR-1198-3p	3.278878263	3.057244524	3.693614853	4.157806951	3.483471625	3.466248986	3.111567979	3.610705717	3.487721016	3.879767108	3.459019365	3.123962778	3.120794049	3.265244432	2.9930915	3.314027924	2.826632011	3.412345065
mmu-miR-1927	4.168605438	4.269733008	4.365851441	5.27550802	4.616743591	4.117162846	4.428738383	4.457689827	4.209999492	4.996873651	4.274707384	3.119651043	4.371650555	4.391140663	3.806979872	4.332347363	3.966123351	4.182621573
mmu-miR-1929-5p	2.120096483	2.358020065	1.485739139	1.735796469	1.644186918	1.933268481	1.744661012	1.859566328	1.530379723	1.685960487	1.709825756	2.778300086	2.257532996	1.585725144	1.48418995	2.201438254	1.79543191	1.563844001
mmu-miR-1930-5p	2.832602428	3.040945224	2.432985758	3.46237109	2.454690425	2.652165831	3.251022504	3.18267928	2.911231783	2.13603345	2.963166471	2.976755206	2.392365245	3.336153944	2.862676753	3.045850198	3.402168624	3.238088491
mmu-miR-1933-5p	1.163440417	1.152211011	1.16093135	1.779338985	0.930327469	2.032355881	1.160669772	1.640940296	1.576299722	1.333455536	1.558032725	1.488175517	1.926787644	2.599961007	1.679865488	1.9911458	2.346781217	1.950823199
mmu-miR-1933-3p	5.683120209	5.443520369	6.028097325	6.465616992	6.496173846	6.359421303	6.418164368	6.541379606	6.171494976	6.655307297	6.645896472	6.114631741	6.712089861	6.640779479	6.301661595	5.976815924	6.294486251	6.38260674
mmu-miR-1934-5p	4.208825756	4.171803754	3.795036053	4.791293628	4.442647313	3.606426289	4.629943131	4.674882723	4.208272385	4.351506708	4.853483146	4.170623753	4.431306773	4.869632956	4.917427622	4.696172491	4.8574834	4.732181895
mmu-miR-1934-3p	0.862986251	0.893346995	1.059393105	2.139245087	1.192758837	1.384552744	0.94444062	1.605119089	1.850544481	1.960106154	1.88170538	1.886938319	2.183519226	2.369151281	1.607478094	1.584027856	1.680674853	2.078021885
mmu-miR-1936	1.969253476	2.125755335	0.794182886	1.539509504	2.579611215	2.768392587	2.748756812	1.883645046	1.924931394	1.944028864	2.058719972	1.821459603	1.680568936	1.29997022	1.521628144	1.391223925	1.669992311	1.154790613
mmu-miR-1940	1.922401162	1.376472726	1.386247147	1.001017191	1.864479349	2.063930027	2.498275304	1.245536682	2.012369436	1.186121356	2.21595371	3.138090191	2.371592142	3.348242641	2.382011631	3.83379044	2.850801514	1.611177109
mmu-miR-1943-5p	4.511035139	4.277012965	3.905984757	4.146023999	3.995760751	3.96644263	4.138156179	3.60191912	4.008027794	4.185034903	4.489058813	3.770627258	3.841562325	4.339632663	4.258662021	4.198977219	3.475796178	3.927208241
mmu-miR-1945	1.584730902	1.177284767	1.48830462	0.879033965	1.017492858	1.414503326	0.880828872	1.351006475	1.194401071	1.023152806	1.616788428	1.078486669	0.964075665	1.255767772	1.139315125	1.094492673	1.848466197	1.165165381
mmu-miR-1306-5p	4.36439558	4.324412176	5.026946458	5.667911613	4.94306395	4.752929944	4.891622349	5.352361443	4.877930473	5.406015444	4.851662446	4.639110701	4.680079243	4.556896755	5.290855311	4.341484568	4.656929021	5.403051755
mmu-miR-1306-3p	1.636212343	1.231752653	1.945938185	2.370728379	1.856606762	1.390640633	1.542047402	1.645868037	1.529740552	2.420451644	1.960972973	1.119316022	1.438703673	2.145315922	1.708756023	1.151491467	1.943589522	1.215651858
mmu-miR-1946a	0.909716567	1.915450556	1.425538973	1.27209327	0.866505585	2.425866966	0.666383575	0.850542636	1.474509745	0.660211717	1.931785235	0.660211717	0.834644261	1.638448752	0.671038433	0.680483589	0.680483589	0.680483589
mmu-miR-1947-5p	5.659197452	5.879494593	6.364226167	6.227695741	5.992555278	5.427903997	5.353121211	6.058612247	5.438712434	6.454370179	5.910963783	5.260287312	5.727797033	5.876748056	5.676166967	4.616778694	4.469030555	5.589039928
mmu-miR-1949	3.604047365	3.621880883	2.717374183	3.762817583	3.448433031	2.707095817	3.729890548	3.627776945	3.427926355	3.294103746	4.334063009	3.854071487	4.732212057	4.592920688	4.632992568	4.983860845	4.849547258	4.871842683
mmu-miR-1950	1.375369583	0.846254698	1.330650306	1.468080468	1.802100139	1.335576462	1.198447195	1.488355253	1.572715272	1.839354727	1.301892908	1.52103777	1.221313262	1.206005898	0.79912488	1.338189274	1.39499653	1.153144955
mmu-miR-669l-5p	6.294609619	6.436696667	6.576282424	6.238611935	6.731605855	6.533497743	6.411607041	6.446318794	6.31985292	6.620112188	6.433085602	6.070126945	6.479953554	6.21329139	6.079404605	6.025874952	5.823576211	5.650302569
mmu-miR-669m-3p	1.34117623	2.276080943	1.657831459	2.118213597	2.013010153	1.720064084	2.686115535	2.133511889	2.246644003	1.511827241	2.038108278	1.838622767	1.965750897	0.996110935	1.625072182	1.857961289	1.735953691	1.405222103
mmu-miR-669o-5p	7.018804213	7.221406994	6.489441592	6.547062829	7.103888515	7.793885359	7.595069414	7.08469341	7.23667419	6.220596684	6.909357192	7.509991848	6.716459689	6.798023537	6.838947445	7.132012141	7.126614591	6.291948548
mmu-miR-1953	1.141339346	0.752912012	1.61435017	1.495311187	1.562172049	0.755017407	2.178356797	1.354517586	0.830682928	1.506828952	1.578314659	0.756451726	0.982574985	1.673677711	1.109272503	1.103577029	0.989848165	0.95905735
mmu-miR-1955-5p	3.126358925	3.484270111	2.385847216	2.819431939	3.271596998	3.437152662	3.111052029	2.968379058	3.006989747	3.262505741	3.79120653	3.557699141	3.490299614	3.63591331	3.355784944	3.35975204	2.964547106	2.953928765
mmu-miR-1955-3p	0.684280785	1.238810728	0.733400505	0.737934175	0.895102694	0.510590651	1.533689792	0.846801622	0.514497071	1.091718874	0.686725163	0.510747067	1.108994607	0.808269079	1.286232612	1.78093587	1.307202339	1.475159353
mmu-miR-1958	1.036592752	1.278119017	1.682277713	1.287683833	1.599678621	1.837201987	1.307919393	0.868005182	1.357322405	1.884705805	0.995180623	1.974354188	1.917217315	1.643273709	1.306894893	1.835406873	0.762810805	1.632514914
mmu-miR-1960	2.85732012	3.244392235	3.261010908	2.665920402	3.312143308	2.481609562	2.025220044	3.201146656	2.835605272	3.155139682	3.057595675	2.177187022	3.339848614	3.178920928	3.439584335	2.702946416	3.04148012	3.462457369
mmu-miR-1964-5p	1.771658867	0.987402256	1.695336291	2.018138111	1.62954279	1.228685217	1.004914757	1.788590849	1.491819123	1.340902665	0.507196363	0.576056956	1.834156516	0.575574553	2.017262916	0.575953515	0.820052295	1.285715933
mmu-miR-1964-3p	4.528301877	4.48766622	4.60514519	4.62261678	4.845784099	4.882757536	4.732253833	4.587610549	4.74695111	5.063049109	4.458733226	4.481566347	4.465388823	4.391481707	4.441439087	4.287060879	4.10041337	4.385120994
mmu-miR-1946b	1.763579978	1.247477007	1.481870064	1.147443752	1.307726767	2.499150696	1.283506453	1.094790664	1.501871425	1.020202052	0.980570082	1.328044636	0.662623759	1.011553438	0.61809068	0.904808611	0.708781486	0.467533117
mmu-miR-1983	5.220085299	5.40184652	4.006902573	4.32007956	4.557519927	5.284803144	6.175503557	4.7234033	4.822609376	3.766119746	4.918832778	5.922275933	3.567169307	3.860199541	4.605249496	5.480532398	4.880414961	3.619603747
mmu-miR-1839-5p	7.52031879	7.421251438	8.051290046	7.864443776	7.488795741	7.333344519	6.967323004	7.544862185	7.400189536	7.76801224	7.710602863	7.230198416	7.676663757	7.707172869	7.654291709	7.743009373	7.681420046	7.943762208
mmu-miR-1839-3p	6.530008203	5.894701994	7.127321345	6.620439095	5.320978449	5.507343342	6.592333791	6.574775519	5.804726709	6.317742795	6.060955026	6.620554132	5.626813813	5.404581563	7.060635006	5.948529628	6.250236375	6.498472076
mmu-miR-1981-5p	6.270782662	6.228535327	5.717826575	6.030938756	6.307281506	6.489570634	6.657141795	6.263650501	6.283220591	6.100000378	6.633853592	6.354807986	6.443913967	6.546474043	6.011080704	6.589905619	6.255794024	6.08778019
mmu-miR-1981-3p	4.588472427	4.362120879	4.415556824	4.888146896	4.563516416	4.95284256	3.446087693	4.130520534	4.265702133	4.396138736	4.939437947	4.300056594	4.37030814	4.057202466	4.579657215	4.563830052	4.228141258	4.709371951
mmu-miR-1982-3p	2.592844169	1.948239625	2.137002256	2.854070107	2.821461593	3.371834747	3.104982445	3.077425037	2.804470762	2.651867812	2.899187858	2.450788491	2.956196508	2.255635903	2.698802902	2.583983104	3.091722665	3.000426699
mmu-miR-664-5p	2.152400164	2.078849483	2.811640811	2.48075747	1.926346847	1.939379075	2.097231336	1.863916473	2.050844131	2.672843462	2.195999029	0.599143917	2.613118725	1.895431239	2.019528555	1.396806952	2.048350734	1.667780608
mmu-miR-664-3p	3.653588139	3.56330912	3.754363241	3.220179713	3.419722705	3.086202606	3.124783268	3.455677684	3.455802011	3.458532283	3.795116115	3.585775194	3.540309115	3.710146584	3.754183709	3.982785712	3.801425744	3.793794388
mmu-miR-3057-5p	5.634350999	5.544418364	5.414977264	5.710184142	5.651836729	4.377263159	5.706373681	5.920075996	5.935367434	5.5482576	6.118042805	6.099545626	4.266719049	4.662430292	6.586738262	5.202236092	6.762892679	5.293063053
mmu-miR-3061-5p	3.367292129	3.322873394	3.26616427	3.509476002	3.270447775	3.149011264	3.52031701	2.979138462	3.486946097	3.903504108	3.76219757	2.874125971	3.64713448	3.530559499	3.313662297	2.909201152	2.706464414	3.596500441
mmu-miR-3061-3p	3.92449074	4.17310057	3.915453203	4.216327795	4.255139567	4.400885394	4.282259327	3.730234177	4.306306798	4.706369473	4.46930436	3.7922955	4.492466085	4.916262704	4.156893207	3.811279839	3.685598335	4.550479052
mmu-miR-3062-5p	1.302646344	2.041157843	1.822147728	1.339372745	1.260896564	2.031035844	2.090609518	1.951323395	1.587958246	1.387003495	1.630472538	1.722169004	1.854028645	1.418885146	1.597657142	0.967183652	1.259737153	2.070198881
mmu-miR-3066-5p	1.945362274	1.192947699	1.591494454	2.085717366	1.976991257	2.43061649	2.390544614	2.281067328	2.333478004	2.061023437	1.881259507	1.879202172	2.279069343	1.850586013	1.460601147	1.910771108	1.666516857	1.754082351
mmu-miR-3066-3p	2.512316755	2.038849898	1.961053667	2.241549103	2.061724805	2.665854482	2.402721045	2.380672538	2.518379692	1.773133533	2.223702223	2.297812967	1.524848377	2.593921412	2.13337719	1.731388973	2.132061121	2.499722196
mmu-miR-3068-5p	4.584043645	4.752181802	3.774626067	3.617375143	3.607954005	5.211629527	5.270219088	4.136110195	4.14039718	3.372171444	4.103207768	5.708238391	4.293330352	4.13564889	4.548499822	5.011885444	5.031829072	3.669222692
mmu-miR-3068-3p	5.981522283	5.746736105	5.441261549	5.714333235	5.44376178	5.975396817	6.008830872	5.27914557	5.521698775	5.26408444	5.531631514	5.721587152	5.561983961	5.126736836	5.270217743	5.694965297	5.460068517	4.788763177
mmu-miR-3069-5p	2.498207473	2.604537422	2.432697268	2.524393348	3.011083683	3.822678459	3.65615658	2.828931143	3.090081988	1.762575332	2.823090072	3.698001376	2.59343283	2.683516826	3.003856335	3.476300267	2.738223686	2.223360618
mmu-miR-3069-3p	1.396008924	0.357761759	1.298202832	1.961286396	1.760411832	1.279485966	1.450280479	1.647911589	1.066018251	2.031433784	1.409180413	1.012588158	1.525827973	1.80572555	1.399193247	1.04121488	1.498335054	1.381835254
mmu-miR-3074-5p	6.467948195	6.475717519	6.700820127	7.173132517	6.875499231	6.09580844	6.309302796	6.562741494	6.479444096	7.120916215	6.791133164	6.021558335	6.45433546	6.41569085	6.223912631	5.940999571	5.884878805	6.53200363
mmu-miR-3074-1-3p	5.616311989	5.677320247	5.659542654	6.1686753	5.919033735	5.922705024	5.828694591	5.68770795	5.646362784	5.865311716	5.628602033	4.725750575	5.400928767	5.006844876	5.283670607	5.028927942	4.92276162	5.179453103
mmu-miR-3075-5p	2.666042489	2.906966493	2.181572915	2.719558445	3.106190623	2.635758958	2.884456254	2.74901424	2.261153193	2.846138347	2.285441918	2.423880062	2.919210989	3.023375163	2.753958575	2.533625996	2.754678551	3.277415635
mmu-miR-3076-5p	1.450706952	0.460947065	1.651210114	1.776540408	1.684309725	1.102104899	1.68884836	1.479175421	1.647952735	1.504579187	1.423732847	1.506203424	1.709426939	1.20122046	1.53679075	1.326594938	1.625341587	1.283593367
mmu-miR-3076-3p	2.662598674	2.401674606	2.497027824	2.271492247	2.469764107	2.973627311	2.301917441	2.317245638	2.490269821	1.966836144	2.46984105	2.626123974	2.17779064	1.749024708	2.576168025	2.563615272	1.56890647	2.325324908
mmu-miR-3082-3p	4.086512692	3.833391374	4.642585641	4.156008557	4.022729104	3.803927805	3.551287104	3.6817839	3.996581071	4.174673875	4.196505713	3.743761574	4.006366111	3.407997849	4.182163723	3.15644696	3.502451492	4.031792651
mmu-miR-3084-5p	1.875061281	1.20953711	1.356572139	2.012862843	1.636719266	1.372575521	1.506151759	1.989208079	1.963049544	1.327920524	1.031727149	1.553206152	1.088277549	1.98451418	2.06913343	1.125271533	1.554558813	2.022076562
mmu-miR-3084-3p	1.920912974	2.352434274	2.155903887	2.180708917	2.212868064	2.326160414	2.110372327	2.544603636	1.928107106	1.750113659	2.013858428	1.894733533	2.111501637	1.589361262	1.851358047	1.921025577	1.683796094	1.945831357
mmu-miR-466m-3p	3.562342544	2.952535026	3.295709987	3.439714909	3.622758364	4.058544739	2.894335499	3.609602754	3.606779117	3.576051488	3.132568344	3.301775849	3.032826346	3.472432477	3.139682714	2.809496036	3.049555309	2.85367696
mmu-miR-466o-3p	3.019345057	3.178619934	3.015393341	3.440371676	3.632656752	3.049531498	3.417718711	3.592182242	3.386428247	2.664455757	2.774480325	2.220246422	2.52606536	2.507626782	2.769876456	2.071649969	2.199204047	2.456765349
mmu-miR-669p-3p	3.791486505	4.072013713	3.41462531	3.87667155	4.036479531	4.600354338	3.553450048	3.607778732	4.194564704	3.852323632	3.549698348	3.916669313	2.597931527	2.846885339	3.735634155	2.863541529	2.782867791	2.81954749
mmu-miR-466n-3p	5.928570611	5.994238079	5.567571919	6.01294957	6.101278767	6.076429748	5.788096654	5.966225538	5.953718428	5.824098887	5.814699277	5.917326599	5.564537484	5.563412959	5.522844826	5.260001229	5.207456765	5.17551912
mmu-miR-3091-3p	4.374427283	2.930550826	3.6563586	4.815817437	3.033035496	3.909748133	3.724265324	2.744226397	2.711174601	3.437248712	3.254257942	2.705833684	2.440286995	1.656439568	1.780702141	1.430715658	0.897231491	1.134754247
mmu-miR-3098-5p	5.064160415	5.019320017	4.920925171	4.921278698	4.93542646	5.293227024	5.086443807	4.821742781	5.275275028	5.350024922	5.011799307	5.461351623	4.847222225	4.568606055	4.965304088	4.622251522	4.13201454	4.477155995
mmu-miR-3101-5p	1.385176836	0.884614571	1.206619972	1.064325768	1.401135271	0.476138968	1.715901137	1.591902796	1.259348813	1.597691852	1.611587888	0.48271984	1.422736934	0.771263618	0.984645532	0.476721578	1.530942608	1.028305256
mmu-miR-3103-3p	0.915633401	1.611000691	1.320129632	1.48497983	1.402665349	0.875561195	1.907722197	1.168965902	0.914669711	0.865968761	1.585377237	1.661071548	1.010580566	1.733246078	0.886453703	0.514380725	0.794384926	1.328544806
mmu-miR-3110-5p	2.107061644	1.724228594	2.240878437	2.202336759	2.32885471	1.106875778	0.878153695	2.182753241	1.893627472	2.351660138	1.978386951	1.944208209	1.915266623	1.799284039	1.396241784	1.951268433	2.576514013	2.072049551
