miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-miR-361-5p	9.214629772	9.348397689	8.895045413	9.306502925	9.304301919	9.499358938	9.577125948	9.215496184	9.383993821	9.41132833	9.809732385	9.609686405	9.911447209	9.611076679	9.833648022	10.4446465	10.1269618	9.866885651
mmu-miR-361-3p	7.164198671	6.923155172	6.545675575	6.887027953	7.139014605	8.217112587	8.383089857	7.29347434	7.687512449	6.815170614	7.560701736	8.653111255	7.568610538	7.643616586	7.758517626	8.485907329	8.040601923	7.48785613
mmu-miR-362-5p	7.708496265	7.308401807	6.78110951	7.783205686	7.873293424	8.314668921	8.683736345	7.853401132	7.422398041	7.492836405	8.38313468	8.793115108	8.763927922	7.982937396	8.062893353	9.806632028	8.636548049	7.761845459
mmu-miR-362-3p	6.672359711	6.900182629	6.909530036	7.322192834	7.632337944	6.138263684	6.991205015	7.562975167	6.700593066	7.710682866	7.249254579	6.79738934	8.049062057	8.549998548	7.696547934	8.727533166	8.598029452	8.207876812
mmu-miR-363-5p	6.87392828	6.9828305	6.485725764	6.848610951	7.034324794	7.416279381	7.386891249	6.996884367	7.020712437	6.295972181	6.985399729	7.249516536	6.496802973	6.518807636	6.551327683	6.693192578	6.773027492	6.240937564
mmu-miR-363-3p	10.58827016	10.58312701	10.68516667	11.02400793	10.6435358	10.328425	10.2570428	10.53734494	10.52599096	10.71313143	10.76568061	10.16657845	10.25750348	10.35856268	10.38855462	9.84100887	10.08791952	10.42655402
mmu-miR-375-3p	0.900112262	0.942534687	1.285212079	0.970934768	0.526198641	0.526198641	0.514258267	1.15192612	1.068671232	1.471646394	1.290261079	0.505804149	1.472820617	1.281644734	1.427073828	0.511485395	0.984189951	1.519840161
mmu-miR-378a-5p	7.974577898	7.889964788	8.07065344	8.364526099	8.098610628	7.845232149	7.630468046	7.975486924	7.550293611	7.901111714	7.694584988	7.264163552	8.031083972	7.68819454	7.584010235	7.417576251	7.345076738	8.268765488
mmu-miR-381-3p	0.620739469	0.496663485	0.733494063	0.495440224	0.90530205	0.495440224	0.500678693	0.689933369	0.501404356	0.884214271	0.922725139	0.483544592	0.50226683	0.814120534	0.498887382	0.495213187	0.495213187	0.91705022
mmu-miR-335-5p	1.774067221	1.881838444	0.939403206	1.240714074	1.42003916	0.86824624	2.730352045	2.070647253	2.043062702	1.417341582	1.294220439	1.875927871	1.620071016	0.822488146	2.048973661	1.922214414	1.802288589	2.023080213
mmu-miR-335-3p	1.075974522	0.496597969	1.086074303	0.92339646	1.189734182	1.151251596	0.496375233	1.442525346	0.995465194	1.930060523	2.020584153	1.128185237	1.497852428	1.040758936	1.275773991	1.385251031	1.572726594	1.463600319
mmu-miR-181b-2-3p	2.636594372	2.820321949	3.083511053	2.506922061	2.269767228	2.255052313	2.040095248	2.472258115	2.293813339	3.909715656	3.203044321	3.625615505	3.906554091	3.552428296	3.739249713	3.091199294	3.202179412	3.262507248
mmu-miR-409-3p	0.501680696	0.876498132	0.441886557	0.439355711	1.016792531	0.439355711	0.887173423	0.790329674	0.610621213	1.051156284	0.695927214	0.434440801	0.498481694	0.447641319	0.447641319	0.437150134	0.915031788	0.661632623
mmu-miR-410-3p	1.236981665	1.737064691	1.087172366	1.657109315	1.568900998	0.853612199	0.928202822	1.35411066	1.231810541	1.356459984	1.171302988	1.588375863	1.173692402	1.259679211	1.804963618	0.854235014	1.835338601	1.063698585
mmu-miR-411-5p	0.746350126	0.990556498	1.713249907	0.931926937	1.824178024	1.209117176	1.886448911	1.732165424	1.355969197	1.49276842	1.195398715	0.458683755	1.09789293	1.117968361	1.403868783	1.249507958	0.75662662	1.324967481
mmu-miR-425-5p	11.24928382	11.23833996	11.91988422	11.57315749	11.37749622	10.96504879	10.7853361	11.34001981	11.19562727	11.63785519	11.57004599	11.16730679	11.71710992	11.64679632	11.7472853	11.38851565	11.63974466	12.30334766
mmu-miR-425-3p	6.453120141	6.418344184	6.344553282	6.307631213	6.180685329	5.958722062	5.666147245	6.015962243	5.866488824	6.24948471	5.985797257	5.426734278	6.335665688	5.797428843	5.768348562	5.611275445	5.660243548	5.757737615
mmu-miR-434-5p	0.786471496	0.563367265	0.563367265	0.53618705	0.997993155	0.969855512	0.579299123	0.982278081	0.50716616	0.577030683	0.669214501	0.577030683	0.972504425	0.547446458	0.547446458	1.273276821	1.040319214	0.753620919
mmu-miR-434-3p	0.796636853	0.409352094	0.992532502	0.636470021	0.95258473	0.769994367	0.835355551	0.744272045	0.700967903	0.991960866	1.55765042	0.41192747	0.967843623	1.649225576	0.411045572	1.497433071	1.347558027	0.623167403
mmu-miR-429-3p	5.260251544	5.481880862	5.723829838	6.06667766	5.716549166	5.237691554	5.332942459	5.434213384	5.461867635	5.69917081	5.70550214	5.182921157	5.559509043	5.719084496	5.575802831	5.444910884	5.684937405	5.832310555
mmu-miR-449a-5p	3.599965932	3.743835966	3.73394702	3.971088636	4.10645972	3.249212358	3.840692746	3.792729548	3.308407648	4.35600276	3.536066411	3.645668138	4.349057969	4.006867434	4.170181256	3.611345606	4.16852125	4.310964098
mmu-miR-449a-3p	0.506180064	0.473168902	0.681378114	0.467797549	0.467797549	0.467797549	0.884724765	0.932584001	0.509696348	1.0405502	0.680941941	1.085648742	1.614611359	1.40394718	0.867988952	0.498515778	1.241041726	1.022386548
mmu-miR-450a-5p	6.742808544	6.708838168	6.213812724	6.665786202	6.523319124	6.533974483	6.457440533	6.571324295	6.453618957	6.663591154	6.638855232	6.653640383	6.807845646	6.470976542	6.995707483	7.136801052	7.173320799	6.872983989
mmu-miR-450a-1-3p	1.538638361	0.548209679	0.949162242	1.122987107	0.744767671	1.406516403	1.753845202	0.718898925	0.997353758	1.101335221	0.698432108	1.147883743	1.62940569	1.28880834	1.621437566	1.173929723	1.700770106	0.755426102
mmu-miR-466a-5p	1.683903332	1.861706131	1.551291353	1.987142	1.352102949	2.047724678	1.171325107	1.369326819	1.870188363	1.383609685	0.874744481	1.541283446	1.685231851	0.946000922	1.546866581	1.7069114	2.150086569	1.609649534
