Name	TCGA-A6-3807	TCGA-A6-3808	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00J	TCGA-AA-A00O	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01P	TCGA-AA-A01R	TCGA-AA-A01S	TCGA-AA-A01T	TCGA-AA-A01V	TCGA-AA-A01X	TCGA-AA-A01Z	TCGA-AA-A022	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02O	TCGA-AA-A02R	TCGA-AA-A02Y	TCGA-AA-A03F	TCGA-AA-A03J
APEH	27.6203	24.6809	24.3012	27.8903	26.045	25.8766	27.8906	28.179	26.8429	27.1503	27.2659	27.0771	26.1282	26.5397	26.9005	24.6263	27.2816	23.0772	25.9716	29.1257	28.8434	26.7558	27.5944	23.8171	25.9487	26.7654	27.027	21.3552	24.4563	26.0571	26.5855	25.9377	27.6016	28.1554	28.0076	24.2067	24.0882	26.3028	26.5438	25.3453	22.4326	21.8034	25.9868	25.678	26.3225	28.1074	25.0303
APEX1	27.3982	27.9369	26.3121	28.1288	25.3226	27.5258	28.9253	30.0553	27.3025	28.434	28.2646	26.156	27.5279	28.5266	28.284	27.7038	27.6728	23.2882	28.3003	29.6459	29.0632	27.5547	27.9441	26.0207	28.5605	28.7291	27.3574	26.2622	23.6729	26.7432	28.5197	28.2093	28.8439	28.8176	26.2576	22.2116	27.6696	27.5804	27.1422	25.2209	28.7872	28.3765	28.8399	27.9136	26.8925	28.0574	27.1843
API5	27.2788	27.569	26.4876	28.3399	26.8949	27.2773	27.6749	28.8286	25.7849	26.721	27.2778	27.3393	26.8033	27.8998	28.3467	26.6729	27.4073	24.4197	27.3113	29.2701	29.566	25.6024	27.6604	26.8584	28.0848	27.9465	26.6616	25.1407	25.6056	27.2172	28.0018	26.6391	27.6944	27.8903	26.9114	27.6153	27.4618	25.7145	28.0243	25.0727	27.6307	25.7135	27.3769	27.3303	27.239	27.9209	27.0338
APMAP	28.7654	27.814	28.2782	27.8604	27.7039	27.1901	28.934	28.9926	26.7104	28.4949	27.8659	27.7702	26.9544	28.8281	27.9281	28.224	28.7916	24.5336	27.6932	29.1913	28.515	27.2657	28.8774	28.1205	30.4222	28.6223	27.3814	25.584	22.7543	27.7812	28.079	27.5393	28.7281	28.5233	29.2423	26.8518	27.7052	25.398	28.2456	27.414	28.7229	25.7549	28.406	27.7389	28.5019	27.6085	28.871
APOA1	30.2803	31.1472	29.2561	31.9674	30.215	29.7203	31.4235	28.537	30.7702	29.6108	31.0933	30.2258	28.7966	28.8452	30.1046	30.9244	31.5231	29.4152	29.5259	31.3765	30.5363	30.9388	28.959	30.4798	33.0649	30.8876	31.2461	30.8009	27.7491	30.8202	31.5994	30.6674	30.6348	32.0114	29.2642	30.5147	30.3562	30.8001	30.7831	28.3962	30.2955	28.8363	29.8937	31.6928	30.209	30.9427	29.7028
APOA1BP	27.7866	26.7935	26.8735	28.1067	25.0991	30.6622	26.9454	28.2935	26.6604	29.2482	26.6065	26.5453	25.9908	29.4083	27.4369	27.2236	25.787	21.1676	27.0571	28.4763	27.4215	25.5325	26.0361	24.8956	28.8813	27.5766	29.32	24.2858	23.9505	26.6806	27.5243	26.0828	26.8854	28.6695	28.0581	22.7412	27.6311	25.1019	27.1154	24.9402	27.4032	25.876	28.0786	25.9053	27.3475	27.4412	25.988
APOA2	23.6719	23.8654	20.6502	27.1121	25.9777	23.9874	25.2694	20.6502	24.5575	20.6502	24.6391	20.6502	21.423	24.3718	24.5991	24.6144	25.2858	24.1856	25.5244	20.6502	25.1843	27.3867	23.1998	25.7168	29.3271	26.7748	26.0876	26.5143	24.4929	27.1281	28.4047	25.02	26.7916	24.0285	26.3358	27.2886	26.6841	27.952	26.7318	23.3394	25.4676	24.5746	26.4245	27.3893	27.0838	26.1767	23.5813
APOB	27.6625	31.2578	26.6765	29.8802	28.7775	29.5416	29.5222	30.215	28.1512	28.5667	29.4515	29.601	27.2334	28.3165	28.1632	27.8575	28.1969	25.1712	28.3038	30.1316	29.287	28.5613	26.6362	29.0829	29.3664	30.2874	28.5393	28.6634	24.3256	28.3581	27.2832	28.2857	28.9977	27.6593	23.3888	21.7358	27.2626	31.5093	29.0276	23.6912	29.03	27.5355	25.6401	28.3307	28.1602	27.7009	27.9433
APOC3	22.7955	25.7783	23.494	27.3237	25.425	25.103	26.2448	24.0409	24.4795	23.0756	25.9739	22.8539	20.4457	24.0313	25.0659	26.8738	26.1142	23.6106	23.2125	25.1293	24.0092	24.3313	18.0978	25.054	28.3887	26.0587	24.6948	26.3032	18.0978	25.5358	26.4068	24.729	26.4072	24.6812	24.8381	22.0827	25.698	27.4045	25.9428	21.8225	26.906	22.9674	24.3642	26.8009	25.9047	24.6529	22.8573
APOE	25.1107	30.1145	26.5207	27.7711	24.4447	27.1836	26.9703	26.0543	24.573	24.8685	25.4817	26.4887	21.5995	23.5621	27.514	26.2312	27.5623	22.5597	23.9866	27.8154	26.6073	24.8967	23.9214	25.9659	28.3436	25.2766	26.1794	26.4583	19.7904	27.7586	27.6138	24.0811	26.244	25.9446	23.7143	19.7904	24.1342	25.3416	26.1321	25.1337	26.0068	21.9118	24.5204	27.932	24.3042	25.3841	23.1095
