miRNA	Gene	Input
mmu-miR-1249-5p	Trp53inp2	-1
mmu-miR-1249-5p	Eif4e1b	-1
mmu-miR-1249-5p	Zfp703	-1
mmu-miR-1249-5p	Wdtc1	-1
mmu-miR-1249-5p	St3gal1	-1
mmu-miR-1249-5p	Htt	-1
mmu-miR-1249-5p	Erv3	-1
mmu-miR-1249-5p	Atf7	-1
mmu-miR-1249-5p	Lypd5	-1
mmu-miR-1249-5p	Syp	-1
mmu-miR-1249-5p	Zfp169	-1
mmu-miR-1249-5p	Mrpl44	-1
mmu-miR-1249-5p	Psg21	-1
mmu-miR-466b-3p	Chek1	-1
mmu-miR-466b-3p	Tmem132b	-1
mmu-miR-466b-3p	Cask	-1
mmu-miR-466b-3p	Rbm41	-1
mmu-miR-466b-3p	AI597479	-1
mmu-miR-466b-3p	Macir	-1
mmu-miR-466b-3p	Lonrf1	-1
mmu-miR-466b-3p	Snx27	-1
mmu-miR-466b-3p	Atxn1l	-1
mmu-miR-466b-3p	Apool	-1
mmu-miR-466b-3p	Igf1	-1
mmu-miR-466b-3p	Oas3	-1
mmu-miR-466b-3p	Mtmr3	-1
mmu-miR-466b-3p	Ino80d	-1
mmu-miR-466b-3p	Asxl2	-1
mmu-miR-466b-3p	Pes1	-1
mmu-miR-466b-3p	Mis18a	-1
mmu-miR-466b-3p	Phip	-1
mmu-miR-466b-3p	Cysltr1	-1
mmu-miR-466b-3p	Riok3	-1
mmu-miR-466b-3p	Rorb	-1
mmu-miR-466b-3p	Crebrf	-1
mmu-miR-466b-3p	Mei4	-1
mmu-miR-466b-3p	Psd3	-1
mmu-miR-466b-3p	Bpnt2	-1
mmu-miR-466b-3p	Cd300a	-1
mmu-miR-466b-3p	Shld2	-1
mmu-miR-466b-3p	Paxbp1	-1
mmu-miR-466b-3p	Gtse1	-1
mmu-miR-466b-3p	Nup35	-1
mmu-miR-466b-3p	Oip5	-1
mmu-miR-466b-3p	Sirt1	-1
mmu-miR-466b-3p	Ccdc169	-1
mmu-miR-466b-3p	Six6	-1
mmu-miR-466b-3p	Grm1	-1
mmu-miR-466b-3p	Unk	-1
mmu-miR-466b-3p	Pfkfb2	-1
mmu-miR-466b-3p	Psmc6	-1
mmu-miR-466b-3p	Eea1	-1
mmu-miR-466b-3p	Slc16a10	-1
mmu-miR-466b-3p	Map3k4	-1
mmu-miR-466b-3p	Birc6	-1
mmu-miR-466b-3p	Dclk1	-1
mmu-miR-466b-3p	Fam91a1	-1
mmu-miR-466b-3p	Aldh1l2	-1
mmu-miR-466b-3p	Akap7	-1
mmu-miR-466b-3p	Ms4a4b	-1
mmu-miR-466b-3p	Aspm	-1
mmu-miR-466b-3p	Lrrtm2	-1
mmu-miR-466b-3p	Dmxl1	-1
mmu-miR-466b-3p	Klf6	-1
mmu-miR-466b-3p	Pbrm1	-1
mmu-miR-466b-3p	Olfr658	-1
mmu-miR-146b-5p	Irak1	-1
mmu-miR-146b-5p	Numb	-1
mmu-miR-146b-5p	Clasp1	-1
mmu-miR-146b-5p	Sec23ip	-1
mmu-miR-146b-5p	Traf6	-1
mmu-miR-146b-5p	Esyt2	-1
mmu-miR-146b-5p	Appl1	-1
mmu-miR-1298-3p	Mef2d	-1
mmu-miR-1298-3p	Sash1	-1
mmu-miR-1298-3p	Dock5	-1
mmu-miR-1298-3p	Cdyl2	-1
mmu-miR-1298-3p	Rtl4	-1
mmu-miR-147-5p	Kmt2c	-1
mmu-miR-147-5p	Map1b	-1
mmu-miR-147-5p	Agk	-1
mmu-miR-147-5p	Tle1	-1
mmu-miR-147-5p	Tmem98	-1
mmu-miR-147-5p	Cnot6l	-1
mmu-miR-147-5p	Htr4	-1
mmu-miR-147-5p	Phip	-1
mmu-miR-147-5p	Dclk1	-1
mmu-miR-147-5p	Ikzf1	-1
mmu-miR-147-5p	Kcnb1	-1
mmu-miR-147-5p	Rora	-1
mmu-miR-147-5p	Mfap3l	-1
mmu-miR-147-5p	Slc4a7	-1
mmu-miR-147-5p	Crkl	-1
mmu-miR-147-5p	Cnih1	-1
mmu-miR-147-5p	Sft2d3	-1
mmu-miR-147-5p	Zfp91	-1
mmu-miR-147-5p	Med13l	-1
mmu-miR-147-5p	Clint1	-1
mmu-miR-147-5p	Emp2	-1
mmu-miR-147-5p	Nav3	-1
mmu-miR-466m-3p	Chek1	-1
mmu-miR-466m-3p	Hsd17b12	-1
mmu-miR-466m-3p	Ssh2	-1
mmu-miR-466m-3p	Get1	-1
mmu-miR-466m-3p	Cask	-1
mmu-miR-466m-3p	Eri1	-1
mmu-miR-466m-3p	Cstf3	-1
mmu-miR-466m-3p	Rbm41	-1
mmu-miR-466m-3p	AI597479	-1
mmu-miR-466m-3p	Slc16a9	-1
mmu-miR-466m-3p	Macir	-1
mmu-miR-466m-3p	Ugt8a	-1
mmu-miR-466m-3p	Snx27	-1
mmu-miR-466m-3p	Tyr	-1
mmu-miR-466m-3p	Kat7	-1
mmu-miR-466m-3p	Apool	-1
mmu-miR-466m-3p	Hecw2	-1
mmu-miR-466m-3p	Add3	-1
mmu-miR-466m-3p	Gpr65	-1
mmu-miR-466m-3p	Pkd2	-1
mmu-miR-466m-3p	Mosmo	-1
mmu-miR-466m-3p	Oas3	-1
mmu-miR-466m-3p	Grem2	-1
mmu-miR-466m-3p	Fsd1l	-1
mmu-miR-466m-3p	Rnf19b	-1
mmu-miR-466m-3p	Cbll1	-1
mmu-miR-466m-3p	Ap1g1	-1
mmu-miR-466m-3p	Ccpg1	-1
