TF	TG	Input
matA	ecpR	1
matA	flhD	1
matA	flhC	1
matA	fliA	1
matA	fliZ	1
matA	tcyJ	1
matA	fliC	1
rclR	rclC	1
rclR	rclB	1
rclR	rclA	1
betI	betA	1
betI	betB	1
betI	betI	1
betI	betT	1
pdeL	pdeL	1
prpR	prpR	1
prpR	prpB	1
prpR	prpC	1
prpR	prpD	1
prpR	prpE	1
cynR	cynR	1
cynR	cynT	1
cynR	cynS	1
cynR	cynX	1
lacI	lacZ	1
lacI	lacY	1
lacI	lacA	1
mhpR	mhpA	1
mhpR	mhpB	1
mhpR	mhpC	1
mhpR	mhpD	1
mhpR	mhpF	1
mhpR	mhpE	1
phoB	cra	1
phoB	phoE	1
phoB	prpR	1
phoB	phoA	1
phoB	psiF	1
phoB	sbcC	1
phoB	sbcD	1
phoB	phoB	1
phoB	phoR	1
phoB	cusR	1
phoB	cusS	1
phoB	cusC	1
phoB	cusF	1
phoB	cusB	1
phoB	cusA	1
phoB	ompF	1
phoB	phoH	1
phoB	phoQ	1
phoB	feaR	1
phoB	ydfH	1
phoB	asr	1
phoB	mipA	1
phoB	eda	1
phoB	yedX	1
phoB	amn	1
phoB	yegH	1
phoB	tktB	1
phoB	argP	1
phoB	pitB	1
phoB	ugpQ	1
phoB	ugpQ	1
phoB	ugpC	1
phoB	ugpC	1
phoB	ugpE	1
phoB	ugpE	1
phoB	ugpA	1
phoB	ugpA	1
phoB	ugpB	1
phoB	ugpB	1
phoB	gadX	1
phoB	gadW	1
phoB	yhjC	1
phoB	waaH	1
phoB	phoU	1
phoB	pstA	1
phoB	pstC	1
phoB	pstS	1
phoB	pstB	1
phoB	phoU	1
phoB	psiE	1
phoB	phnP	1
phoB	phnO	1
phoB	phnN	1
phoB	phnM	1
phoB	phnL	1
phoB	phnK	1
phoB	phnJ	1
phoB	phnI	1
phoB	phnH	1
phoB	phnG	1
phoB	phnF	1
phoB	phnE_2	1
phoB	phnE_1	1
phoB	phnD	1
phoB	phnC	1
phoB	adiC	1
nrdR	nrdA	1
nrdR	nrdB	1
nrdR	yfaE	1
nrdR	nrdH	1
nrdR	nrdI	1
nrdR	nrdE	1
nrdR	nrdF	1
nrdR	nrdG	1
nrdR	nrdD	1
bolA	dacC	1
bolA	dacC	1
bolA	ampC	1
bolA	ampC	1
acrR	acrA	1
acrR	acrB	1
acrR	acrR	1
acrR	marR	1
acrR	marA	1
acrR	marB	1
acrR	flhD	1
acrR	flhC	1
acrR	soxS	1
acrR	soxR	1
acrR	micF	1
cueR	cueO	1
cueR	copA	1
cueR	moaA	1
cueR	moaB	1
cueR	moaC	1
cueR	moaD	1
cueR	moaE	1
allS	allE	1
allS	allC	1
allS	allD	1
allR	allS	1
allR	allA	1
allR	gcl	1
allR	hyi	1
allR	glxR	1
allR	ybbW	1
allR	allB	1
allR	ybbY	1
allR	glxK	1
appY	hyaA	1
appY	hyaB	1
appY	hyaC	1
appY	hyaD	1
