TF	TG	Input
Bmi1	Pmaip1	1
Bmi1	Pten	1
Bmp4	Chst11	1
Bmp6	Mycn	1
Brca1	Akt1	1
Brca1	Cdkn1a	1
Brca1	Hmga2	1
Brca1	Mad2l1	1
Brca1	Mdm2	1
Brca1	Rad51	1
Brca1	Sirt1	1
Brca1	Tpt1	1
Brca2	Cdkn1a	1
Btg2	Atoh1	1
Btg2	Creb1	1
Bub3	Apod	1
Cbfa2t3	Epb42	1
Cbx6	Ccne1	1
Ccnd1	Cdkn2a	1
Cd7	Nfkb1	1
Cdx1	Ccl25	1
Cdx1	Cdx2	1
Cdx1	Mafb	1
Cdx2	Ccl25	1
Cdx2	Cdh17	1
Cdx2	Cdx1	1
Cdx2	Cdx4	1
Cdx2	Glb1	1
Cdx2	Heph	1
Cdx2	Kitl	1
Cdx2	Mgam	1
Cdx2	Nanog	1
Cdx2	Nanog	1
Cdx2	Pou5f1	1
Cdx2	Shh	1
Cdx2	Sis	1
Cdx2	Xist	1
Cdx4	Hoxa9	1
Cebpa	Abca3	1
Cebpa	Alb	1
Cebpa	Aldh3a1	1
Cebpa	Amelx	1
Cebpa	Apod	1
Cebpa	Bcl2	1
Cebpa	Cflar	1
Cebpa	Clu	1
Cebpa	Crabp2	1
Cebpa	Elane	1
Cebpa	Il12b	1
Cebpa	Il4	1
Cebpa	Lpin1	1
Cebpa	Mstn	1
Cebpa	Nfkb1	1
Cebpa	Nos2	1
Cebpa	Nr1h3	1
Cebpa	Pck1	1
Cebpa	Prtn3	1
Cebpa	Ptgs2	1
Cebpa	Ptgs2	1
Cebpa	Scgb1a1	1
Cebpa	Slc2a4	1
Cebpa	Spi1	1
Cebpa	Zbtb16	1
Cebpb	Abl1	1
Cebpb	Abl2	1
Cebpb	Alb	1
Cebpb	Aldh3a1	1
Cebpb	Atf3	1
Cebpb	Bcl2	1
Cebpb	Bglap	1
Cebpb	Btg2	1
Cebpb	Cdkn1a	1
Cebpb	Cebpa	1
Cebpb	Cebpa	1
Cebpb	Clu	1
Cebpb	Cr2	1
Cebpb	Csf1r	1
Cebpb	Csf3	1
Cebpb	Csf3	1
Cebpb	Csn2	1
Cebpb	Cxcr4	1
Cebpb	Cyr61	1
Cebpb	Fos	1
Cebpb	Fos	1
Cebpb	Foxf1	1
Cebpb	Gsta2	1
Cebpb	H2-K1	1
Cebpb	Hgf	1
Cebpb	Id2	1
Cebpb	Il1b	1
Cebpb	Il5ra	1
Cebpb	Il6	1
Cebpb	Insr	1
Cebpb	Mafb	1
Cebpb	Myc	1
Cebpb	Pck1	1
Cebpb	Pparg	1
Cebpb	Ppargc1a	1
Cebpb	Ptgs1	1
Cebpb	Ptgs2	1
Cebpb	Ptgs2	1
Cebpb	Runx2	1
Cebpb	Runx2	1
Cebpb	Scgb1a1	1
Cebpb	Serpine1	1
Cebpb	Slc10a1	1
Cebpb	Snrpn	1
Cebpb	Socs3	1
Cebpb	Trp53	1
Cebpb	Ucp1	1
Cebpe	Mxd1	1
Cebpg	Cebpa	1
Cebpg	Cebpb	1
Cebpg	Il6	1
Cebpz	Hspa1b	1
Chd1	Ubtfl1	1
Chd4	Cd4	1
Chd4	Id2	1
Chd4	Jun	1
Chd4	Ngfr	1
Chd7	Gli3	1
Chd7	Jag1	1
Chd7	Mycn	1
Chd7	Sox11	1
Chd7	Sox4	1
Chd8	Brca1	1
Chd8	Myc	1
Chd8	Stat3	1
Chd8	Tcf4	1
Ciita	Col1a2	1
Ciita	Nfatc1	1
Ciita	Oscar	1
Cited2	Cebpa	1
Cited2	Fgf9	1
Cited2	Ldhb	1
Cited2	Ldhd	1
Cited2	Mmp9	1
Cited2	Nr5a1	1
Cited2	Pdk2	1
Cited2	Pdk4	1
Cited2	Pparg	1
Cited2	Smad3	1
Cited2	Wnt4	1
Clock	Bhlhe40	1
Clock	Bhlhe41	1
Clock	Bhlhe40	1
Clock	Bhlhe41	1
Clock	Cry1	1
Clock	Cry2	1
Clock	Dbp	1
Clock	Nr0b2	1
Clock	Nampt	1
Clock	Per1	1
Clock	Per1	1
Clock	Per2	1
Clock	Scnn1a	1
Clock	Serpine1	1
Clock	Serpine2	1
Clock	Thbd	1
Clock	Tpo	1
Clock	Vwf	1
Cnot3	Myc	1
Cnot3	Zfx	1
Cnot7	Tob1	1
Cops5	Hand2	1
Creb1	Acsl4	1
Creb1	Bcl2	1
Creb1	Cftr	1
Creb1	Cldn11	1
Creb1	Crtc2	1
Creb1	Entpd1	1
Creb1	Esr1	1
Creb1	Etv2	1
Creb1	Etv3	1
Creb1	Fos	1
Creb1	Fos	1
Creb1	Fos	1
Creb1	Hspa5	1
Creb1	Il10	1
Creb1	Ldha	1
Creb1	Mif	1
Creb1	Mitf	1
Creb1	Nf1	1
Creb1	Nfkbiz	1
Creb1	Nmnat2	1
Creb1	Noct	1
Creb1	Nrf1	1
Creb1	Pde3b	1
Creb1	Penk	1
Creb1	Ppargc1a	1
Creb1	Ppm1d	1
Creb1	Prkce	1
Creb1	Ptgs2	1
Creb1	Ptgs2	1
Creb1	Nectin2	1
Creb1	Ren1	1
Creb1	Slc20a1	1
Creb1	Slc2a3	1
Creb1	Twist1	1
Creb3	Apoa4	1
Creb3	Herpud1	1
Creb3l1	Gcm1	1
Creb3l1	Mmp3	1
Creb3l1	Slc1a4	1
Creb3l3	Hamp	1
Creb3l3	Smurf1	1
Creb3l4	Edem1	1
Crebbp	Alx1	1
Crebbp	Bcl2	1
Crebbp	Birc5	1
Crebbp	Tdgf1	1
Crebbp	Clock	1
Crebbp	Crebbp	1
Crebbp	Crx	1
Crebbp	Cryab	1
Crebbp	Cyp11a1	1
Crebbp	Ep300	1
Crebbp	Esr1	1
Crebbp	F7	1
Crebbp	Fos	1
Crebbp	Fosb	1
Crebbp	Foxp3	1
Crebbp	Fth1	1
Crebbp	Gh	1
Crebbp	Grip1	1
Crebbp	Hgf	1
Crebbp	Hmox1	1
Crebbp	Ifnb1	1
Crebbp	Il6	1
Crebbp	Krt16	1
Crebbp	Ldha	1
Crebbp	Med1	1
Crebbp	Hinfp	1
Crebbp	Mt1	1
Crebbp	Myh1	1
Crebbp	Nfkb1	1
Crebbp	Nfya	1
Crebbp	Nfyb	1
Crebbp	Npas2	1
Crebbp	Per1	1
Crebbp	Rs1	1
Crebbp	Setdb1	1
Crebbp	Socs3	1
Crebbp	Spib	1
Crebbp	Sst	1
Crebbp	Star	1
Crebbp	Tnf	1
Crebbp	Tnf	1
Crebbp	Trp53	1
Crebbp	Trp53	1
Crebzf	Adipoq	1
Crem	Ren1	1
Crtc1	Creb1	1
Crx	Fam161a	1
Crx	Kcnv2	1
Crx	Nr2e3	1
